name,genre,time,year,country,lang,production bdget,domestic gross,world wide gross,rate,neto income
56,0.0,175.0,2022,66.0,21.0,200000000.0,369242530.0,768442500.0,8.7,568442500.0
57,1.0,108.0,2010,66.0,21.0,200000000.0,334191100.0,1025491140.0,8.7,825491140.0
58,0.0,143.0,2012,65.0,21.0,200000000.0,304360300.0,1110527000.0,8.6,910527000.0
59,1.0,169.0,2012,47.0,21.0,200000000.0,303003600.0,1014938560.0,8.3,814938560.0
60,1.0,102.0,2013,66.0,21.0,200000000.0,268488320.0,743455800.0,8.1,543455800.0
61,1.0,130.0,2013,66.0,21.0,200000000.0,234770990.0,490359040.0,5.6,290359040.0
62,0.0,131.0,2014,66.0,21.0,200000000.0,233921540.0,747862800.0,7.7,547862800.0
63,0.0,141.0,2014,66.0,21.0,200000000.0,202853940.0,708996350.0,6.4,508996350.0
64,1.0,107.0,2011,66.0,21.0,200000000.0,191450880.0,560155400.0,4.9,360155400.0
65,0.0,133.0,2021,66.0,21.0,200000000.0,183651650.0,379751650.0,6.4,179751650.0
66,0.0,134.0,2019,66.0,21.0,200000000.0,173956930.0,760381700.0,6.6,560381700.0
67,0.0,145.0,2021,66.0,21.0,200000000.0,173005950.0,721077950.0,6.6,521077950.0
68,1.0,125.0,2010,66.0,21.0,200000000.0,172062770.0,399866200.0,7.0,199866200.0
69,0.0,158.0,2009,66.0,21.0,200000000.0,166112160.0,757677760.0,4.7,557677760.0
70,0.0,156.0,2021,66.0,21.0,200000000.0,164870270.0,402064930.0,7.8,202064930.0
71,1.0,134.0,2018,65.0,21.0,200000000.0,159555900.0,648455360.0,5.4,448455360.0
72,0.0,116.0,2009,66.0,21.0,200000000.0,125322470.0,365491780.0,5.3,165491780.0
73,1.0,90.0,2021,66.0,21.0,200000000.0,116987520.0,210384140.0,9.2,10384140.0
74,0.0,113.0,2011,66.0,21.0,200000000.0,116601170.0,219535490.0,4.5,19535490.0
75,0.0,115.0,2010,66.0,21.0,200000000.0,90759680.0,336359680.0,5.8,136359680.0
76,1.0,110.0,2022,66.0,21.0,200000000.0,90178136.0,378778140.0,8.3,178778140.0
77,0.0,114.0,2019,66.0,21.0,200000000.0,65845976.0,246356900.0,6.4,46356900.0
78,1.0,114.0,2020,66.0,21.0,200000000.0,61555144.0,133317030.0,9.5,-66682970.0
79,0.0,151.0,2020,66.0,21.0,200000000.0,46801036.0,166360220.0,7.3,-33639780.0
80,1.0,115.0,2020,13.0,21.0,200000000.0,46801036.0,69965380.0,8.5,-130034620.0
81,0.0,140.0,2021,66.0,21.0,200000000.0,46801036.0,19220000.0,7.6,-180780000.0
82,0.0,154.0,2011,66.0,21.0,195000000.0,352390530.0,1123794000.0,5.5,928794000.0
83,1.0,107.0,2017,66.0,21.0,195000000.0,80101130.0,409953920.0,8.7,214953920.0
84,1.0,113.0,2013,66.0,21.0,195000000.0,65187604.0,197687600.0,5.5,2687600.0
85,0.0,137.0,2015,66.0,21.0,190000000.0,353007000.0,1516881500.0,8.2,1326881500.0
86,1.0,132.0,2013,66.0,21.0,190000000.0,228778660.0,467381570.0,8.9,277381570.0
87,0.0,115.0,2013,66.0,21.0,190000000.0,202706700.0,531861660.0,7.2,341861660.0
88,6.0,141.0,2013,66.0,21.0,190000000.0,144840420.0,353640420.0,8.7,163640420.0
89,6.0,95.0,2009,66.0,21.0,190000000.0,137855860.0,315709700.0,9.1,125709700.0
90,0.0,131.0,2013,66.0,13.0,190000000.0,101802904.0,411002900.0,7.2,221002900.0
91,0.0,148.0,2021,2.0,21.0,190000000.0,37686804.0,156467820.0,6.4,-33532180.0
92,1.0,92.0,2015,66.0,21.0,187500000.0,123087120.0,333771040.0,6.4,146271040.0
93,1.0,126.0,2008,66.0,21.0,186000000.0,318604130.0,585171500.0,9.1,399171500.0
94,0.0,152.0,2008,66.0,21.0,185000000.0,533720960.0,998615800.0,9.4,813615800.0
95,1.0,123.0,2008,66.0,21.0,185000000.0,317101120.0,786635400.0,5.3,601635400.0
96,1.0,93.0,2012,66.0,21.0,185000000.0,237282180.0,554606500.0,9.1,369606500.0
97,1.0,118.0,2017,66.0,21.0,185000000.0,168052820.0,561072060.0,6.9,376072060.0
98,1.0,122.0,2016,66.0,21.0,185000000.0,158848340.0,335673700.0,8.0,150673700.0
99,1.0,118.0,2019,66.0,21.0,185000000.0,113929610.0,489346500.0,9.5,304346500.0
100,11.0,164.0,2017,66.0,21.0,185000000.0,92054160.0,258829060.0,8.1,73829060.0
101,0.0,128.0,2019,66.0,21.0,185000000.0,62253076.0,250372370.0,8.2,65372370.0
102,0.0,132.0,2021,66.0,21.0,185000000.0,55817424.0,167120220.0,8.2,-17879780.0
103,1.0,128.0,2019,30.0,21.0,182000000.0,355559230.0,1046649700.0,9.4,864649700.0
104,0.0,130.0,2017,66.0,21.0,180000000.0,315058300.0,850482750.0,8.7,670482750.0
105,1.0,140.0,2005,65.0,21.0,180000000.0,291710940.0,720539600.0,7.6,540539600.0
106,1.0,97.0,2014,66.0,21.0,180000000.0,241407330.0,758536700.0,7.0,578536700.0
107,1.0,133.0,2016,66.0,21.0,180000000.0,234037570.0,811724400.0,7.9,631724400.0
108,1.0,100.0,2008,66.0,21.0,180000000.0,223808160.0,532508030.0,8.3,352508030.0
109,0.0,91.0,2007,66.0,13.0,180000000.0,140125970.0,256585890.0,6.3,76585890.0
110,1.0,110.0,2016,66.0,21.0,180000000.0,126643064.0,348902000.0,5.8,168902000.0
111,1.0,126.0,2011,65.0,21.0,180000000.0,73864504.0,180047780.0,7.8,47780.0
112,1.0,129.0,2017,22.0,21.0,180000000.0,40479370.0,215098350.0,5.3,35098350.0
113,0.0,127.0,2015,66.0,21.0,179000000.0,47482520.0,181982510.0,3.8,2982510.0
114,0.0,147.0,2018,66.0,21.0,178000000.0,220159100.0,787176700.0,8.3,609176700.0
115,0.0,136.0,2016,66.0,21.0,178000000.0,155442500.0,542537540.0,7.7,364537540.0
116,0.0,113.0,2018,66.0,21.0,178000000.0,145443740.0,527370720.0,4.2,349370720.0
117,0.0,136.0,2014,66.0,21.0,178000000.0,100206260.0,367029000.0,9.0,189029000.0
118,0.0,124.0,2019,66.0,21.0,175000000.0,426829820.0,1129727400.0,4.5,954727400.0
119,1.0,105.0,2016,66.0,21.0,175000000.0,364001120.0,953554400.0,9.1,778554400.0
120,1.0,95.0,2015,66.0,21.0,175000000.0,356461700.0,852830100.0,3.8,677830100.0
121,0.0,133.0,2017,66.0,21.0,175000000.0,334201150.0,878346430.0,8.8,703346430.0
122,0.0,123.0,2016,66.0,21.0,175000000.0,325100060.0,745744960.0,5.0,570744960.0
123,1.0,89.0,2009,66.0,21.0,175000000.0,293004160.0,731463360.0,9.0,556463360.0
124,9.0,105.0,2017,66.0,21.0,175000000.0,210460020.0,797666400.0,1.5,622666400.0
125,1.0,112.0,2018,66.0,21.0,175000000.0,201091710.0,529290800.0,6.5,354290800.0
126,1.0,95.0,2009,66.0,21.0,175000000.0,198351520.0,381687400.0,6.3,206687400.0
127,1.0,109.0,2017,66.0,21.0,175000000.0,152901120.0,383541380.0,6.9,208541380.0
128,0.0,118.0,2009,66.0,21.0,175000000.0,150201500.0,302469020.0,8.1,127469020.0
129,1.0,107.0,1999,66.0,21.0,175000000.0,113805680.0,221229330.0,2.8,46229330.0
130,1.0,111.0,2008,10.0,21.0,175000000.0,102491780.0,405760220.0,6.8,230760220.0
131,3.0,96.0,2007,66.0,21.0,175000000.0,100289690.0,174131330.0,5.2,-868670.0
132,0.0,135.0,1995,66.0,21.0,175000000.0,88246220.0,264246220.0,4.3,89246220.0
133,1.0,103.0,2020,66.0,21.0,175000000.0,77047064.0,251410620.0,7.6,76410620.0
134,1.0,126.0,2017,2.0,21.0,175000000.0,39175064.0,139630340.0,6.9,-35369660.0
135,0.0,127.0,2013,66.0,21.0,175000000.0,38362476.0,151716820.0,4.8,-23283180.0
136,1.0,100.0,2022,10.0,21.0,175000000.0,38362476.0,11094352.0,7.2,-163905648.0
137,0.0,128.0,2018,66.0,21.0,170000000.0,417719740.0,1308334000.0,4.8,1138334000.0
138,0.0,121.0,2014,66.0,21.0,170000000.0,333714100.0,770882370.0,9.2,600882370.0
139,0.0,125.0,2010,66.0,21.0,170000000.0,312433340.0,621156400.0,7.1,451156400.0
140,0.0,135.0,2014,66.0,21.0,170000000.0,259746960.0,714401900.0,9.2,544401900.0
141,1.0,130.0,2014,66.0,21.0,170000000.0,208545580.0,710644540.0,8.8,540644540.0
142,1.0,92.0,2004,66.0,21.0,170000000.0,188578850.0,312719420.0,6.6,142719420.0
143,1.0,127.0,2012,66.0,21.0,170000000.0,155136750.0,401021760.0,5.2,231021760.0
144,0.0,109.0,2003,66.0,21.0,170000000.0,150358300.0,433058300.0,4.6,263058300.0
145,0.0,132.0,2004,66.0,21.0,170000000.0,120150540.0,300150560.0,5.7,130150560.0
146,1.0,130.0,2019,66.0,21.0,170000000.0,114766300.0,353166300.0,7.0,183166300.0
147,0.0,132.0,2019,66.0,21.0,170000000.0,110500136.0,383299900.0,7.3,213299900.0
148,1.0,129.0,2015,66.0,21.0,170000000.0,93436320.0,206627520.0,7.0,36627520.0
149,0.0,122.0,2019,66.0,21.0,170000000.0,85838210.0,401900030.0,9.2,231900030.0
150,1.0,113.0,2016,66.0,21.0,170000000.0,77042380.0,276928130.0,5.0,106928130.0
151,1.0,93.0,2010,66.0,21.0,165000000.0,238736780.0,756244700.0,5.4,591244700.0
152,0.0,115.0,2016,66.0,21.0,165000000.0,232641920.0,676354500.0,7.2,511354500.0
153,1.0,108.0,2014,66.0,21.0,165000000.0,222527820.0,649657400.0,9.1,484657400.0
154,1.0,91.0,2010,66.0,21.0,165000000.0,217581230.0,494870980.0,9.1,329870980.0
155,1.0,101.0,2012,66.0,21.0,165000000.0,189412670.0,496511520.0,6.9,331511520.0
156,1.0,165.0,2014,66.0,21.0,165000000.0,188017890.0,651023000.0,8.6,486023000.0
